provider,fund_name,fund_type,fee_pct,return_1yr,return_5yr
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,CASH FUND,Defensive,0.43,2.06,2.34
MERCER KIWISAVER SCHEME,CASH FUND,Defensive,0.32,2.16,2.44
ANZ DEFAULT KIWISAVER SCHEME,CASH FUND,Defensive,0.22,2.35,2.59
MAS KIWISAVER SCHEME,CASH FUND,Defensive,0.25,2.76,2.62
FISHER FUNDS KIWISAVER PLAN,CASHPLUS FUND,Defensive,0.68,2.27,1.83
GENERATE KIWISAVER SCHEME,CASHPLUS FUND,Defensive,0.55,2.5,
SUPERLIFE KIWISAVER SCHEME,CASTLE POINT 5 OCEANS FUND,Aggressive,1.38,7.76,3.51
KOURA KIWISAVER SCHEME,CLEAN ENERGY FUND,Aggressive,1.2,57.37,
ONEANSWER KIWISAVER SCHEME,CONSERVATIVE BALANCED FUND,Conservative,0.73,4.85,2.27
ANZ KIWISAVER SCHEME,CONSERVATIVE BALANCED FUND,Conservative,0.73,4.86,2.27
ANZ DEFAULT KIWISAVER SCHEME,CONSERVATIVE BALANCED FUND,Conservative,0.73,4.86,2.27
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,CONSERVATIVE FUND,Conservative,0.5,4.41,2.27
WESTPAC KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.4,4.83,2.42
FISHER FUNDS TWO KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.88,2.77,1.99
JMI WEALTH KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,1.22,4.18,2.14
GENERATE KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,1.2,3.26,
ONEANSWER KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.6,3.49,1.65
ANZ KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.6,3.49,1.65
ASB KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.4,5.42,2.61
BOOSTER KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.38,3.82,2.2
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.67,3.96,2.16
FISHER FUNDS KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.93,2.83,1.98
ANZ DEFAULT KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.42,3.56,2.25
MAS KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.84,3.82,1.95
SIMPLICITY KIWISAVER SCHEME,CONSERVATIVE FUND,Conservative,0.25,4.02,1.8
MARITIME KIWISAVER SCHEME,CONSERVATIVE PORTFOLIO,Conservative,0.61,2.92,2.1
FISHER FUNDS KIWISAVER PLAN,CORE CONSERVATIVE FUND,Conservative,0.51,2.69,2.79
FISHER FUNDS TWO KIWISAVER SCHEME,Cash Enhanced Fund,Conservative,0.52,2.59,2.24
FISHER FUNDS KIWISAVER PLAN,Conservative Fund,Conservative,0.87,3.38,2.44
KOURA KIWISAVER SCHEME,Conservative Strategy,Conservative,0.85,5.22,
WESTPAC KIWISAVER SCHEME,DEFAULT BALANCED FUND,Balanced,0.4,7.74,
SIMPLICITY KIWISAVER SCHEME,DEFAULT FUND,Balanced,0.25,7.61,
BOOSTER KIWISAVER SCHEME,DEFAULT SAVER FUND,Balanced,0.35,7.28,
WESTPAC KIWISAVER SCHEME,DEFENSIVE CONSERVATIVE FUND,Conservative,0.4,4.31,2.3
SIMPLICITY KIWISAVER SCHEME,DEFENSIVE FUND,Defensive,0.25,2.49,
FISHER FUNDS KIWISAVER PLAN,Default Fund,Balanced,0.37,8.74,
KOURA KIWISAVER SCHEME,EMERGING MARKETS EQUITIES FUND,Aggressive,0.73,26.09,6.77
SUPERLIFE KIWISAVER SCHEME,EMERGING MARKETS FUND,Aggressive,0.83,18.45,5.83
BOOSTER KIWISAVER SCHEME,ENHANCED CASH FUND,Defensive,0.87,1.98,2.09
FISHER FUNDS TWO KIWISAVER SCHEME,EQUITY FUND,Growth,1.16,2.55,4.32
SUPERLIFE KIWISAVER SCHEME,ETHICA FUND,Balanced,0.8,7.49,4.3
SUPERLIFE KIWISAVER SCHEME,EUROPE FUND,Aggressive,0.69,15.29,10.66
KOURA KIWISAVER SCHEME,FIXED INTEREST FUND,Defensive,0.73,2.42,1.43
GENERATE KIWISAVER SCHEME,FOCUSED GROWTH FUND,Aggressive,1.39,8.77,6.41
BOOSTER KIWISAVER SCHEME,GEARED GROWTH FUND,Aggressive,1.5,10.85,6.11
FISHER FUNDS TWO KIWISAVER SCHEME,GLIDEPATH AGE 25,Growth,1.16,2.55,4.32
FISHER FUNDS KIWISAVER PLAN,GLIDEPATH AGE 25,Growth,1.23,1.65,
FISHER FUNDS KIWISAVER SCHEME,GLIDEPATH AGE 30,Growth,1.05,1.95,3.49
FISHER FUNDS TWO KIWISAVER SCHEME,GLIDEPATH AGE 40,Growth,1.09,2.21,4.23
FISHER FUNDS KIWISAVER SCHEME,GLIDEPATH AGE 50,Growth,1.03,2.09,3.3
FISHER FUNDS TWO KIWISAVER SCHEME,GLIDEPATH AGE 55,Balanced,0.96,2.26,3.08
FISHER FUNDS KIWISAVER PLAN,GLIDEPATH AGE 55,Balanced,1.11,2.89,3.66
FISHER FUNDS KIWISAVER SCHEME,GLIDEPATH AGE 60,Balanced,0.98,2.49,2.67
FISHER FUNDS KIWISAVER PLAN,GLIDEPATH AGE 65,Conservative,0.91,3.3,
FISHER FUNDS TWO KIWISAVER SCHEME,GLIDEPATH AGE 65,Conservative,0.89,2.7,2.16
FISHER FUNDS TWO KIWISAVER SCHEME,GLIDEPATH AGE 75,Conservative,0.86,2.73,2.02
FISHER FUNDS KIWISAVER SCHEME,GLIDEPATH AGE 75,Conservative,0.94,2.76,2.13
SUPERLIFE KIWISAVER SCHEME,GLOBAL AGGREGATE BOND FUND,Defensive,0.69,1.03,-1.53
MAS KIWISAVER SCHEME,GLOBAL EQUITIES FUND,Aggressive,0.98,12.57,6.66
GENERATE KIWISAVER SCHEME,GLOBAL FUND,Aggressive,1.3,,
SUPERLIFE KIWISAVER SCHEME,GLOBAL PROPERTY FUND,Aggressive,0.68,5.26,-0.07
AMP KIWISAVER SCHEME,GLOBAL SELECT BALANCED GROWTH FUND,Growth,1.18,11.15,4.67
AMP KIWISAVER SCHEME,GLOBAL SELECT CONSERVATIVE FUND,Conservative,1.08,4.88,1.95
AMP KIWISAVER SCHEME,GLOBAL SELECT GROWTH FUND,Growth,1.27,12.99,5.49
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA ARK DISRUPTIVE INNOVATION FUND,Aggressive,1.55,19.68,-7.83
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA BALANCED FUND,Balanced,1.24,3.21,2.06
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA CONSERVATIVE FUND,Conservative,1.0,2.53,1.59
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA GLOBAL SHARES FUND,Aggressive,1.45,-4.76,6.69
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA GROWTH FUND,Growth,1.39,3.19,2.42
