id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
95,Clean Energy Fund,Koura KiwiSaver Scheme,Aggressive,1.2,57.37,,5–7,5,7,10,40,True,False,
96,Conservative Balanced Fund,Oneanswer KiwiSaver Scheme,Conservative,0.73,4.85,2.27,2–3,2,3,1,4,False,True,2013
97,Conservative Balanced Fund,ANZ KiwiSaver Scheme,Conservative,0.73,4.86,2.27,2–3,2,3,1,4,False,True,2013
98,Conservative Balanced Fund,ANZ Default KiwiSaver Scheme,Conservative,0.73,4.86,2.27,2–3,2,3,1,4,False,True,2013
99,Conservative Fund,Supereasy KiwiSaver Superannuation Scheme,Conservative,0.5,4.41,2.27,2–3,2,3,1,4,False,False,
100,Conservative Fund,Westpac KiwiSaver Scheme,Conservative,0.4,4.83,2.42,2–3,2,3,1,4,False,True,2013
101,Conservative Fund,Fisher Funds Two KiwiSaver Scheme,Conservative,0.88,2.77,1.99,2–3,2,3,1,4,False,True,2013
102,Conservative Fund,JMI Wealth KiwiSaver Scheme,Conservative,1.22,4.18,2.14,2–3,2,3,1,4,False,False,
103,Conservative Fund,Generate KiwiSaver Scheme,Conservative,1.2,3.26,,2–3,2,3,1,4,False,True,2013
104,Conservative Fund,Oneanswer KiwiSaver Scheme,Conservative,0.6,3.49,1.65,2–3,2,3,1,4,False,True,2013
105,Conservative Fund,ANZ KiwiSaver Scheme,Conservative,0.6,3.49,1.65,2–3,2,3,1,4,False,True,2013
106,Conservative Fund,ASB KiwiSaver Scheme,Conservative,0.4,5.42,2.61,2–3,2,3,1,4,False,True,2013
107,Conservative Fund,Booster KiwiSaver Scheme,Conservative,0.38,3.82,2.2,2–3,2,3,1,4,False,True,2021
108,Conservative Fund,New Zealand Defence Force KiwiSaver Scheme,Conservative,0.67,3.96,2.16,2–3,2,3,1,4,False,True,2015
109,Conservative Fund,Fisher Funds KiwiSaver Scheme,Conservative,0.93,2.83,1.98,2–3,2,3,1,4,False,True,2013
110,Conservative Fund,ANZ Default KiwiSaver Scheme,Conservative,0.42,3.56,2.25,2–3,2,3,1,4,False,True,2013
111,Conservative Fund,MAS KiwiSaver Scheme,Conservative,0.84,3.82,1.95,2–3,2,3,1,4,False,True,2021
112,Conservative Fund,Simplicity KiwiSaver Scheme,Conservative,0.25,4.02,1.8,2–3,2,3,1,4,False,True,2016
113,Conservative Portfolio,Maritime KiwiSaver Scheme,Conservative,0.61,2.92,2.1,2–3,2,3,1,4,False,False,
114,Core Conservative Fund,Fisher Funds KiwiSaver Plan,Conservative,0.51,2.69,2.79,2–3,2,3,1,4,False,False,
115,Cash Enhanced Fund,Fisher Funds Two KiwiSaver Scheme,Conservative,0.52,2.59,2.24,2–3,2,3,1,4,False,True,2013
116,Conservative Fund,Fisher Funds KiwiSaver Plan,Conservative,0.87,3.38,2.44,2–3,2,3,1,4,False,False,
117,Conservative Strategy,Koura KiwiSaver Scheme,Conservative,0.85,5.22,,2–3,2,3,1,4,True,False,
118,Default Balanced Fund,Westpac KiwiSaver Scheme,Balanced,0.4,7.74,,3–4,3,4,4,9,False,True,2021
119,Default Fund,Simplicity KiwiSaver Scheme,Balanced,0.25,7.61,,3–4,3,4,4,9,False,True,2022
120,Default Saver Fund,Booster KiwiSaver Scheme,Balanced,0.35,7.28,,3–4,3,4,4,9,False,True,2016
121,Defensive Conservative Fund,Westpac KiwiSaver Scheme,Conservative,0.4,4.31,2.3,2–3,2,3,1,4,False,True,2021
122,Defensive Fund,Simplicity KiwiSaver Scheme,Defensive,0.25,2.49,,1–2,1,2,0,3,False,False,
123,Default Fund,Fisher Funds KiwiSaver Plan,Balanced,0.37,8.74,,3–4,3,4,4,9,False,False,
124,Emerging Markets Equities Fund,Koura KiwiSaver Scheme,Aggressive,0.73,26.09,6.77,5–7,5,7,10,40,True,True,2019
125,Emerging Markets Fund,Superlife KiwiSaver Scheme,Aggressive,0.83,18.45,5.83,5–7,5,7,10,40,False,True,2016
126,Enhanced Cash Fund,Booster KiwiSaver Scheme,Defensive,0.87,1.98,2.09,1–2,1,2,0,3,False,True,2020
127,Equity Fund,Fisher Funds Two KiwiSaver Scheme,Growth,1.16,2.55,4.32,4–5,4,5,6,12,False,True,2013
128,Ethica Fund,Superlife KiwiSaver Scheme,Balanced,0.8,7.49,4.3,3–4,3,4,4,9,True,True,2020
129,Europe Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,15.29,10.66,5–7,5,7,10,40,False,True,2019
130,Fixed Interest Fund,Koura KiwiSaver Scheme,Defensive,0.73,2.42,1.43,1–2,1,2,0,3,True,False,
131,Focused Growth Fund,Generate KiwiSaver Scheme,Aggressive,1.39,8.77,6.41,5–7,5,7,10,40,False,True,2013
132,Geared Growth Fund,Booster KiwiSaver Scheme,Aggressive,1.5,10.85,6.11,5–7,5,7,10,40,False,True,2016
133,Glidepath Age 25,Fisher Funds Two KiwiSaver Scheme,Growth,1.16,2.55,4.32,4–5,4,5,6,12,False,True,2016
134,Glidepath Age 25,Fisher Funds KiwiSaver Plan,Growth,1.23,1.65,,4–5,4,5,6,12,False,False,
135,Glidepath Age 30,Fisher Funds KiwiSaver Scheme,Growth,1.05,1.95,3.49,4–5,4,5,6,12,False,True,2017
136,Glidepath Age 40,Fisher Funds Two KiwiSaver Scheme,Growth,1.09,2.21,4.23,4–5,4,5,6,12,False,True,2016
137,Glidepath Age 50,Fisher Funds KiwiSaver Scheme,Growth,1.03,2.09,3.3,4–5,4,5,6,12,False,True,2017
138,Glidepath Age 55,Fisher Funds Two KiwiSaver Scheme,Balanced,0.96,2.26,3.08,3–4,3,4,4,9,False,True,2016
139,Glidepath Age 55,Fisher Funds KiwiSaver Plan,Balanced,1.11,2.89,3.66,3–4,3,4,4,9,False,False,
140,Glidepath Age 60,Fisher Funds KiwiSaver Scheme,Balanced,0.98,2.49,2.67,3–4,3,4,4,9,False,True,2017
141,Glidepath Age 65,Fisher Funds KiwiSaver Plan,Conservative,0.91,3.3,,2–3,2,3,1,4,False,False,
