source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
bnz,2025-09-30,First Home Buyer,,384831106.0,,2015-09-15,4,4.75,2.82,0.45
bnz,2025-09-30,Growth,,2093426923.0,,2013-02-11,5,13.23,7.71,0.45
bnz,2025-09-30,High-Growth,,406301634.9,,2023-11-28,6,15.63,15.7,0.45
bnz,2025-09-30,Moderate,,864789946.2,,2013-02-11,3,8.01,4.21,0.45
bnz,2025-12-31,Balanced,,1003558305.0,,2013-02-11,4,8.84,5.34,0.45
bnz,2025-12-31,Cash,,346235775.5,,2013-02-11,1,2.63,2.45,0.3
bnz,2025-12-31,Conservative,,921657960.4,,2013-02-11,2,4.91,2.26,0.45
bnz,2025-12-31,Default,,867397366.2,,2021-12-01,3,10.65,9.31,0.35
bnz,2025-12-31,First Home Buyer,,383889697.2,,2015-09-15,4,4.27,2.77,0.45
bnz,2025-12-31,Growth,,2122376898.0,,2013-02-11,5,10.53,6.93,0.45
bnz,2025-12-31,High-Growth,,469868127.9,,2023-11-28,6,13.36,12.03,0.45
bnz,2025-12-31,Moderate,,873686636.3,,2013-02-11,3,6.96,3.86,0.45
bnz,2026-03-31,Balanced,,967498290.5,,2013-02-11,4,7.8,4.43,0.45
bnz,2026-03-31,Cash,,364642966.3,,2013-02-11,1,2.28,2.53,0.3
bnz,2026-03-31,Conservative,,917265343.6,,2013-02-11,2,3.73,2.09,0.45
bnz,2026-03-31,Default,,844451880.5,,2021-12-01,3,9.42,8.4,0.35
bnz,2026-03-31,First Home Buyer,,383740790.2,,2015-09-15,4,3.41,2.62,0.45
bnz,2026-03-31,Growth,,1999429582.0,,2013-02-11,5,9.65,5.62,0.45
bnz,2026-03-31,High-Growth,,477796698.8,,2023-11-28,6,12.55,11.42,0.45
bnz,2026-03-31,Moderate,,842451249.8,,2013-02-11,3,5.85,3.32,0.45
milford,2025-03-31,Moderate,,217865304.0,5309,2020-03-27,3,,5.85,
milford,2023-12-31,Active Growth,,4615003667.0,62483,2010-04-01,5,,9.76,
milford,2024-12-31,Active Growth,,6336522919.0,79673,2010-04-01,5,,8.54,
milford,2025-12-31,Active Growth,,8476147401.0,98975,2010-04-01,4,,8.87,
milford,2023-06-30,Active Growth,,3907444533.0,54928,2010-04-01,5,,7.86,
milford,2025-06-30,Active Growth,,7084788334.0,86961,2010-04-01,4,,10.12,
milford,2023-03-31,Active Growth,,3565641956.0,52080,2010-04-01,5,,8.01,
milford,2024-03-31,Active Growth,,5206556247.0,66463,2010-04-01,5,,9.87,
milford,2026-03-31,Active Growth,,8447305291.0,103069,2010-04-01,4,,6.82,
milford,2025-03-31,Active Growth,,6524738962.0,83123,2010-04-01,4,,11.52,
milford,2023-09-30,Active Growth,,4097722848.0,59053,2010-04-01,5,,6.82,
milford,2024-09-30,Active Growth,,5918925009.0,75786,2010-04-01,5,,8.62,
milford,2025-09-30,Active Growth,,7963906149.0,93597,2010-04-01,4,,10.03,
milford,2023-12-31,Aggressive,,1233654373.0,28073,2019-08-01,5,,,
milford,2024-12-31,Aggressive,,2016949962.0,40554,2019-08-01,5,,10.25,
milford,2025-12-31,Aggressive,,2967792353.0,55393,2019-08-01,5,,8.44,
milford,2023-06-30,Aggressive,,1030748737.0,24453,2019-08-01,5,,,
milford,2024-06-30,Aggressive,,1585762678.0,33590,2019-08-01,5,,,
milford,2025-06-30,Aggressive,,2379451155.0,46510,2019-08-01,5,,10.07,
milford,2023-03-31,Aggressive,,911585635.0,22836,2019-08-01,5,,,
milford,2024-03-31,Aggressive,,1484542575.0,30571,2019-08-01,5,,,
milford,2026-03-31,Aggressive,,2873413614.0,57626,2019-08-01,5,,6.37,
milford,2025-03-31,Aggressive,,2132639054.0,44091,2019-08-01,5,,12.28,
milford,2023-09-30,Aggressive,,1084798110.0,26673,2019-08-01,5,,,
milford,2024-09-30,Aggressive,,1798047606.0,36982,2019-08-01,5,,10.22,
milford,2025-09-30,Aggressive,,2768235546.0,51438,2019-08-01,5,,9.60,
milford,2023-12-31,Balanced,,1294081681.0,21643,2010-04-01,4,,7.49,
milford,2024-12-31,Balanced,,1692490635.0,25886,2010-04-01,4,,6.28,
milford,2025-12-31,Balanced,,2314359837.0,31865,2010-04-01,4,,6.03,
milford,2023-06-30,Balanced,,1115030952.0,19327,2010-04-01,4,,6.14,
milford,2024-06-30,Balanced,,1462584978.0,23767,2010-04-01,4,,6.33,
milford,2025-06-30,Balanced,,1928334071.0,28437,2010-04-01,4,,7.34,
