From Period,To Period,Provider,Fund,Persistence Type
2016-03-31,2016-06-30,0.5,MERCER CONSERVATIVE FUND,Top-to-Top
2016-06-30,2016-09-30,1.03,FISHER BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.67,GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,0.62,BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.3,CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,BNZ KIWISAVER GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.81,RUSSELL LIFEPOINTS® TARGET DATE 2045 FUND,Top-to-Top
2016-09-30,2016-12-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.08,AMP AGGRESSIVE FUND,Top-to-Top
2016-09-30,2016-12-31,1.03,AMP AUSTRALASIAN SHARES FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.98,NIKKO AM CONSERVATIVE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.09,CONSERVATIVE,Bottom-to-Bottom
2016-09-30,2016-12-31,0.93,ASB MODERATE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.68,AMP CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.08,AMP RESPONSIBLE INVESTMENT BALANCED FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.95,BNZ KIWISAVER BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.98,ASB BALANCED FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,BALANCED,Bottom-to-Bottom
2016-09-30,2016-12-31,1.18,ANZ GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.03,ASB GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.39,NIKKO CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.9,MERCER SHARES FUND,Top-to-Top
2016-09-30,2016-12-31,0.98,AMP INCOME GENERATOR FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.81,RUSSELL LIFEPOINTS® GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,GROWTH,Bottom-to-Bottom
2016-09-30,2016-12-31,0.74,RUSSELL LIFEPOINTS® BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.76,RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,Top-to-Top
2016-09-30,2016-12-31,1.09,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2016-09-30,2016-12-31,0.73,AMP PASSIVE INTERNATIONAL SHARES FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.18,NIKKO AM GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.03,AMP PROPERTY FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.38,ANZ CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,TRANS-TASMAN SHARE FUND,Top-to-Top
2016-09-30,2016-12-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.41,GEARED GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.03,AMP INTERNATIONAL SHARES FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2016-12-31,2017-12-31,0.85,LIFESTAGES AUTO OPTION AGE 0,Top-to-Top
2016-12-31,2017-12-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.17,ASSET CLASS GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.82,HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.32,CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.85,LIFESTAGES HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.48,PRESERVATION FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.04,TRANS-TASMAN SHARE FUND,Top-to-Top
2016-12-31,2017-12-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SUMMER GLOBAL EQUITIES,Top-to-Top
2017-12-31,2018-03-31,0.90,MERCER SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.55,NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.10,GLIDEPATH AGE 25,Top-to-Top
2017-12-31,2018-03-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.65,CPP FUND NO. 5,Top-to-Top
2017-12-31,2018-03-31,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.85,CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 1,Top-to-Top
2017-12-31,2018-03-31,0.87,AMP CONSERVATIVE FUND (LIFESTEPS),Bottom-to-Bottom
2017-12-31,2018-03-31,0.72,AMP CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.75,LIFESTAGES CAPITAL STABLE PORTFOLIO,Bottom-to-Bottom
2017-12-31,2018-03-31,1.10,EQUITY FUND,Top-to-Top
2017-12-31,2018-03-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,FOCUSED GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.67,NIKKO CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.48,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.45,CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,STEPPING STONES 0-35,Top-to-Top
2017-12-31,2018-03-31,1.04,SOCIALLY RESPONSIBLE INVESTMENT GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.75,INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,Top-to-Top
2017-12-31,2018-03-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.82,HIGH GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,LIFESTAGES INCOME FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.33,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.63,SUMMER GLOBAL FIXED INTEREST,Bottom-to-Bottom
2017-12-31,2018-03-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 3,Top-to-Top
2017-12-31,2018-03-31,0.87,AMP CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.95,INCOME STRATEGY,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 2,Top-to-Top
2017-12-31,2018-03-31,1.20,SUSTAINABLE INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,1.00,AUSTRALASIAN SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.73,AMP PASSIVE INTERNATIONAL SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.90,SUMMER NEW ZEALAND CASH,Bottom-to-Bottom
2017-12-31,2018-03-31,0.32,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.18,NIKKO AM GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.30,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.35,AMP DEFAULT FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.48,PRESERVATION FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SUMMER NEW ZEALAND EQUITIES,Top-to-Top
2017-12-31,2018-03-31,0.25,BNZ KIWISAVER CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 4,Top-to-Top
2017-12-31,2018-03-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.03,AMP INTERNATIONAL SHARES FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,NZ TOP 10 ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,NZ DIVIDEND ETF FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.55,NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.34,NZ CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,ASIA PACIFIC ETF FUND,Top-to-Top
2018-03-31,2018-06-30,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2018-03-31,2018-06-30,0.85,CONSERVATIVE FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.87,AMP CONSERVATIVE FUND (LIFESTEPS),Bottom-to-Bottom
2018-03-31,2018-06-30,0.72,AMP CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,TOTAL WORLD ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,NZ TOP 50 ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.95,GROWTH FUND,Top-to-Top
2018-03-31,2018-06-30,0.75,LIFESTAGES CAPITAL STABLE PORTFOLIO,Bottom-to-Bottom
2018-03-31,2018-06-30,0.79,CASHPLUS,Bottom-to-Bottom
2018-03-31,2018-06-30,0.67,NIKKO CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,AUSTRALIAN MID CAP ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.48,CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,1.03,MILFORD KIWISAVER ACTIVE GROWTH FUND,Top-to-Top
2018-03-31,2018-06-30,0.45,CONSERVATIVE FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,1.04,SOCIALLY RESPONSIBLE INVESTMENT GROWTH FUND,Top-to-Top
2018-03-31,2018-06-30,1.12,QUAYSTREET ALTUM FUND,Top-to-Top
2018-03-31,2018-06-30,0.75,INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,SUPERLIFE INCOME,Bottom-to-Bottom
2018-03-31,2018-06-30,0.32,MERCER CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.65,LIFESTAGES INCOME FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.33,CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,SUPERLIFE AGE STEPS,Bottom-to-Bottom
2018-03-31,2018-06-30,0.87,AMP CONSERVATIVE FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.95,INCOME STRATEGY,Bottom-to-Bottom
2018-03-31,2018-06-30,0.85,GEMINO FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.65,ANZ CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.65,CASH,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,AUSTRALIAN FINANCIALS ETF FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.64,QUAYSTREET INCOME FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,NZ CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,1.03,ASSET CLASS CONSERVATIVE FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,US LARGE GROWTH ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.32,CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,NZ MID CAP ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,AMP DEFAULT FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,1.03,GROWTH,Top-to-Top
2018-03-31,2018-06-30,0.35,AUSTRALIAN RESOURCES ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.48,PRESERVATION FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,1.12,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,OVERSEAS SHARES FUND,Top-to-Top
2018-03-31,2018-06-30,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,NZ CASH ETF FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,OVERSEAS NON-GOVERNMENT BONDS FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.35,OVERSEAS BONDS FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.65,CPP FUND NO. 4,Top-to-Top
2018-03-31,2018-06-30,0.35,GLOBAL BOND ETF FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.17,NIKKO AM GROWTH FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,NZ TOP 10 ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,NZ BONDS FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.12,QUAYSTREET AUSTRALIAN EQUITY FUND,Top-to-Top
2018-06-30,2018-09-30,0.55,NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.72,AMP PASSIVE INTERNATIONAL SHARES FUND,Top-to-Top
2018-06-30,2018-09-30,0.34,NZ CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.15,QUAYSTREET INTERNATIONAL EQUITY FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,ASIA PACIFIC ETF FUND,Top-to-Top
2018-06-30,2018-09-30,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2018-06-30,2018-09-30,0.85,CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.64,CPP FUND NO. 5,Top-to-Top
2018-06-30,2018-09-30,0.87,AMP CONSERVATIVE FUND (LIFESTEPS),Bottom-to-Bottom
2018-06-30,2018-09-30,0.72,AMP CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.61,MILFORD ACTIVE GROWTH WHOLESALE FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,TOTAL WORLD ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,NZ TOP 50 ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.95,GROWTH FUND,Top-to-Top
2018-06-30,2018-09-30,1.02,AMP INTERNATIONAL SHARES FUND,Top-to-Top
2018-06-30,2018-09-30,0.75,LIFESTAGES CAPITAL STABLE PORTFOLIO,Bottom-to-Bottom
2018-06-30,2018-09-30,0.85,LIFESTAGES AUTO OPTION AGE 0,Top-to-Top
2018-06-30,2018-09-30,1.09,EQUITY FUND,Top-to-Top
2018-06-30,2018-09-30,0.79,CASHPLUS,Bottom-to-Bottom
2018-06-30,2018-09-30,1.03,GLIDEPATH AGE 40,Top-to-Top
2018-06-30,2018-09-30,0.35,US LARGE VALUE ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,US SMALL ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.95,RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.67,NIKKO CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,AUSTRALIAN MID CAP ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.48,CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,US 500 ETF FUND,Top-to-Top
2018-06-30,2018-09-30,1.03,MILFORD KIWISAVER ACTIVE GROWTH FUND,Top-to-Top
2018-06-30,2018-09-30,0.45,CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.82,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.04,SOCIALLY RESPONSIBLE INVESTMENT GROWTH FUND,Top-to-Top
2018-06-30,2018-09-30,0.64,CPP FUND NO. 2,Top-to-Top
2018-06-30,2018-09-30,0.75,INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,SUPERLIFE INCOME,Bottom-to-Bottom
2018-06-30,2018-09-30,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.32,MERCER CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.58,SUMMER GLOBAL FIXED INTEREST,Bottom-to-Bottom
2018-06-30,2018-09-30,1.27,LIFECYCLE PROCESS,Top-to-Top
2018-06-30,2018-09-30,0.65,LIFESTAGES INCOME FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.33,CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,SUPERLIFE AGE STEPS,Bottom-to-Bottom
2018-06-30,2018-09-30,0.56,CASH ENHANCED FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.87,AMP CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.95,INCOME STRATEGY,Bottom-to-Bottom
2018-06-30,2018-09-30,0.65,ANZ CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.39,CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.64,CPP FUND NO. 3,Top-to-Top
2018-06-30,2018-09-30,0.65,CASH,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,AUSTRALIAN FINANCIALS ETF FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.64,QUAYSTREET INCOME FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,NZ CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.64,CPP FUND NO. 1,Top-to-Top
2018-06-30,2018-09-30,1.03,ASSET CLASS CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,US LARGE GROWTH ETF FUND,Top-to-Top
2018-06-30,2018-09-30,1.02,AMP AUSTRALASIAN SHARES FUND,Top-to-Top
2018-06-30,2018-09-30,0.32,CASH FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,US MID CAP ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.97,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,NZ MID CAP ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.85,LIFESTAGES HIGH GROWTH FUND,Top-to-Top
2018-06-30,2018-09-30,0.72,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.09,GLIDEPATH AGE 25,Top-to-Top
2018-06-30,2018-09-30,1.42,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.03,GROWTH,Top-to-Top
2018-06-30,2018-09-30,0.35,AUSTRALIAN RESOURCES ETF FUND,Top-to-Top
2018-06-30,2018-09-30,0.48,PRESERVATION FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,1.12,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,NZ BOND ETF FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,OVERSEAS SHARES FUND,Top-to-Top
2018-06-30,2018-09-30,0.64,QUAYSTREET FIXED INTEREST FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,NZ CASH ETF FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,OVERSEAS NON-GOVERNMENT BONDS FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.35,OVERSEAS BONDS FUND,Bottom-to-Bottom
2018-06-30,2018-09-30,0.65,CPP FUND NO. 4,Top-to-Top
2018-06-30,2018-09-30,1.04,TRANS-TASMAN SHARE FUND,Top-to-Top
2018-06-30,2018-09-30,0.35,GLOBAL BOND ETF FUND,Bottom-to-Bottom
2018-09-30,2018-12-31,0.35,NZ TOP 10 ETF FUND,Top-to-Top
2018-09-30,2018-12-31,0.35,EMERGING MARKETS FUND,Bottom-to-Bottom
2018-09-30,2018-12-31,0.35,NZ TOP 50 ETF FUND,Top-to-Top
2018-09-30,2018-12-31,0.35,AUSTRALIAN DIVIDEND ETF FUND,Bottom-to-Bottom
2018-09-30,2018-12-31,0.90,SUMMER LISTED PROPERTY,Top-to-Top
2018-09-30,2018-12-31,0.35,NZ PROPERTY ETF FUND,Top-to-Top
2018-09-30,2018-12-31,0.35,AUSTRALIAN FINANCIALS ETF FUND,Bottom-to-Bottom
2018-09-30,2018-12-31,1.00,AUSTRALASIAN SHARE FUND,Top-to-Top
2018-09-30,2018-12-31,0.35,NZ MID CAP ETF FUND,Top-to-Top
2018-09-30,2018-12-31,1.42,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2018-09-30,2018-12-31,1.12,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2018-09-30,2018-12-31,0.90,SUMMER NEW ZEALAND EQUITIES,Top-to-Top
2018-09-30,2018-12-31,1.00,AUSTRALASIAN PROPERTY FUND,Top-to-Top
2018-12-31,2019-03-31,0.90,SUMMER LISTED PROPERTY,Top-to-Top
2018-12-31,2019-03-31,1.00,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,Top-to-Top
2018-12-31,2019-03-31,1.27,LIFECYCLE PROCESS,Bottom-to-Bottom
2018-12-31,2019-03-31,1.00,STEPPING STONES 56-60,Top-to-Top
2018-12-31,2019-03-31,1.00,AUSTRALASIAN SHARE FUND,Top-to-Top
2018-12-31,2019-03-31,1.30,GROWTH STRATEGY,Bottom-to-Bottom
2018-12-31,2019-03-31,1.42,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2018-12-31,2019-03-31,0.90,SUMMER NEW ZEALAND EQUITIES,Top-to-Top
2018-12-31,2019-03-31,1.00,AUSTRALASIAN PROPERTY FUND,Top-to-Top
2019-03-31,2019-06-30,0.45,EUROPE FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.13,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2019-03-31,2019-06-30,0.46,GLOBAL PROPERTY FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,AUSTRALIAN TOP 20 FUND,Top-to-Top
2019-03-31,2019-06-30,0.34,NZ CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.55,NZ MID CAP FUND,Top-to-Top
2019-03-31,2019-06-30,1.17,SOCIALLY RESPONSIBLE INVESTMENT GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,AUSTRALIAN MID CAP FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.55,AUSTRALIAN PROPERTY FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,NZ DIVIDEND FUND,Top-to-Top
2019-03-31,2019-06-30,1.17,OPTION FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.48,US LARGE VALUE FUND,Top-to-Top
2019-03-31,2019-06-30,0.45,ASIA PACIFIC FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.00,INTERNATIONAL PROPERTY FUND,Top-to-Top
2019-03-31,2019-06-30,0.95,GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,0.75,LIFESTAGES CAPITAL STABLE PORTFOLIO,Bottom-to-Bottom
2019-03-31,2019-06-30,1.09,EQUITY FUND,Top-to-Top
2019-03-31,2019-06-30,0.50,BNZ KIWISAVER FIRST HOME BUYER FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.62,CASH,Bottom-to-Bottom
2019-03-31,2019-06-30,0.90,SUMMER LISTED PROPERTY,Top-to-Top
2019-03-31,2019-06-30,0.48,US LARGE GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,AUSTRALIAN FINANCIALS FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.62,AMANAH GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,1.00,FOCUSED GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,EMERGING MARKETS FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.48,CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.00,STEPPING STONES 0-35,Top-to-Top
2019-03-31,2019-06-30,0.82,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.05,CONSERVATIVE,Bottom-to-Bottom
2019-03-31,2019-06-30,1.00,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,Top-to-Top
2019-03-31,2019-06-30,0.44,NZ CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.13,QUAYSTREET ALTUM FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.30,BNZ KIWISAVER CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.00,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,Top-to-Top
2019-03-31,2019-06-30,0.32,MERCER CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.55,NZ SHARES FUND,Top-to-Top
2019-03-31,2019-06-30,1.27,LIFECYCLE PROCESS,Bottom-to-Bottom
2019-03-31,2019-06-30,0.58,BNZ KIWISAVER CONSERVATIVE FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.22,ASSET CLASS BALANCED FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,0.33,CASH FUND,Bottom-to-Bottom
2019-03-31,2019-06-30,1.00,INTERNATIONAL SHARE FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,NZ TOP 10 FUND,Top-to-Top
2019-03-31,2019-06-30,0.30,GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,1.17,GLOBAL SHARES FUND,Top-to-Top
2019-03-31,2019-06-30,1.59,GEARED GROWTH FUND,Top-to-Top
2019-03-31,2019-06-30,0.55,NZ TOP 50 FUND,Top-to-Top
2019-03-31,2019-06-30,0.97,CORE EQUITY FUND,Top-to-Top
