Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
CONSERVATIVE FUND,0.83,,8,1.9,4.59,0.41
SUPERLIFE AGE STEPS - AGE 60,0.36,,4,3.46,4.57,0.76
BALANCED STRATEGY,0.90,,3,5.75,4.53,1.27
QUAYSTREET INTERNATIONAL EQUITY FUND,1.13,,2,-0.1,4.53,-0.02
PATHFINDER KIWISAVER CONSERVATIVE FUND,0.8,,4,2.14,4.52,0.47
GLIDEPATH AGE 40,1.04,,2,11.11,4.51,2.46
SUPERLIFE CONSERVATIVE FUND,0.56,,6,4.76,4.48,1.06
LIFECYCLE PROCESS - AGE 75,1.13,,6,3.91,4.46,0.88
INVESTNOW MILFORD BALANCED FUND,1.05,,2,8.46,4.45,1.9
AMP GLOBAL MULTI-ASSET FUND,1.42,,7,0.28,4.44,0.06
CONSERVATIVE FUND,0.8,,3,-2.7,4.43,-0.61
QUAYSTREET BALANCED FUND,0.91,,3,6.81,4.42,1.54
INVESTNOW HUNTER GLOBAL FIXED INTEREST FUND,0.54,,3,-4.34,4.39,-0.99
ETHICA,0.65,,5,2.82,4.35,0.65
MILFORD KIWISAVER MODERATE FUND,0.86,,3,10.08,4.26,2.37
BNZ KIWISAVER GROWTH FUND,1.05,,2,11.75,4.26,2.76
CONSERVATIVE FUND,0.49,,4,-0.14,4.22,-0.03
ASB MODERATE FUND,0.92,,7,4.18,4.22,0.99
LIFESTAGES AUTO OPTION AGE 55 - 64,0.65,,7,4.15,4.19,0.99
LIFESTAGES AUTO OPTION AGE 45 - 54,0.75,,7,4.8,4.19,1.15
NIKKO BALANCED FUND,0.74,,2,5.74,4.19,1.37
AMP MODERATE FUND,0.98,,7,3.82,4.15,0.92
AMP MODERATE FUND (LIFESTEPS),0.98,,7,3.82,4.15,0.92
STEPPING STONES 56-60,1.00,,11,7.15,4.11,1.74
LIFESTAGES AUTO OPTION AGE 65+,0.60,,3,3.88,4.08,0.95
RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,0.91,,3,2.3,4.04,0.57
MODERATE FUND,0.60,,12,5.02,4.0,1.25
LIFE CYCLE - AGE 0-54,1.09,,2,-12.54,4.0,-3.13
STEPPING STONES GROWTH 65+,1.00,,4,5.5,3.98,1.38
STEPPING STONES 65+,1.00,,4,5.5,3.98,1.38
GROWTH FUND,1.02,,2,9.99,3.92,2.55
CONSERVATIVE FUND,0.4,,4,-1.49,3.91,-0.38
SOCIALLY RESPONSIBLE INVESTMENT BALANCED FUND,1.04,,7,6.24,3.91,1.6
ASSET CLASS CONSERVATIVE FUND,1.14,,3,8.57,3.9,2.2
MODERATE FUND,0.5,,3,2.91,3.89,0.75
NZ SHARES FUND,0.48,,4,5.73,3.89,1.47
BNZ KIWISAVER MODERATE FUND,0.90,,6,4.43,3.89,1.14
QUAYSTREET BALANCED FUND,0.93,,3,6.03,3.88,1.55
AMP MODERATE FUND,0.97,,9,4.54,3.84,1.18
AMP MODERATE FUND (LIFESTEPS),0.97,,9,4.54,3.84,1.18
INCOME STRATEGY,0.95,,18,2.74,3.83,0.72
